iter	Passed	Remaining
0	2	339
1	3	227
2	3	182
3	4	158
4	4	142
5	5	125
6	6	124
7	7	129
8	7	122
9	8	119
10	9	115
11	9	111
12	10	108
13	10	105
14	11	106
15	12	107
16	13	105
17	14	103
18	14	102
19	15	99
20	15	97
21	16	96
22	18	103
23	19	100
24	20	101
25	20	99
26	21	97
27	22	96
28	23	99
29	24	97
30	24	94
31	25	93
32	26	92
33	26	90
34	27	89
35	27	87
36	28	87
37	29	86
38	29	85
39	31	85
40	31	84
41	32	83
42	32	82
43	33	80
44	35	81
45	35	80
46	36	79
47	36	77
48	37	77
49	38	76
50	38	74
51	39	73
52	40	74
53	41	73
54	41	72
55	42	71
56	43	70
57	43	69
58	44	68
59	44	66
60	45	65
61	46	65
62	47	65
63	47	64
64	48	63
65	49	62
66	49	61
67	50	60
68	51	60
69	52	59
70	52	58
71	52	57
72	53	56
73	53	55
74	54	54
75	54	53
76	55	52
77	56	52
78	56	51
79	57	50
80	57	49
81	58	48
82	59	47
83	59	46
84	60	46
85	60	45
86	61	44
87	62	44
88	63	43
89	64	42
90	65	42
91	65	41
92	66	40
93	66	39
94	67	38
95	69	38
96	69	38
97	70	37
98	70	36
99	71	35
100	72	35
101	72	34
102	74	33
103	75	33
104	75	32
105	76	31
106	77	31
107	77	30
108	78	29
109	79	28
110	80	28
111	81	27
112	81	26
113	82	26
114	83	25
115	83	24
116	84	23
117	86	23
118	87	22
119	87	21
120	88	21
121	89	20
122	89	19
123	90	18
124	91	18
125	92	17
126	93	16
127	93	16
128	94	15
129	95	14
130	96	14
131	97	13
132	98	12
133	99	11
134	99	11
135	100	10
136	100	9
137	101	8
138	103	8
139	103	7
140	104	6
141	105	5
142	106	5
143	106	4
144	108	3
145	108	2
146	110	2
147	110	1
148	111	0
149	112	0
